id,comment,label
0,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ   ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,1
1,මන් ඊයේ මුස්ලිම් ඩෑල් එකක් එක්ක සෙල්ෆියක් ගත්තා සහජීවනේ රැකගෙන ඉදිරියට යන්න ඌ ඒක තාම දාලා නෑ   පරයා,1
2,සංහිදියාවට අවුලක් වෙයි ද,0
3,කටින් පුරසාරම් දොඩන අපි සිංහලයො විදියට ලැජ්ජා විය යුතුයි,1
4,මචන් ඔය මගුල නවත්තලා කොන්දක් තියෙනවානම් පුලුවන්නම් කරලා පෙන්නපන් ඔය දෙසපාලනය කරන අයගෙන් මෙ රටට මොකක්ද වෙලාතියෙන්නෙ කියලා අන්න එදාට උබ නියම කොල්ලෙක් පුලුවන්නම් කරලා පෙන්නනවාද,1
5,හැබැයි ඒ මේ ආණ්ඩුවේ විතරක් නෙවෙයි   රට හූරාගෙන තමන්ගෙ බූදලය කියල හිතාගෙන   රට උගස් තියල සල්ලි නයට අරගෙන තමතමන්ගෙ පරම්පරාවෙ එවුන්ටයි හිතවත් එවුන්ටයි බෙදාගෙන කන සියලුම දේශපාලකයන් දුටු දුටු තැන මරලා දාන දිනය වැඩි ඈතක නෑ,1
6,ලංකාව මොකක්ද   මෙිකෙ ඉන්නෙ වාහනයක් ගත්තම අලි ඔලුවෙන් ඉන්න පාරෙ යන වෙන එකෙක් ගැන හිතන්නැති නිරැවත් පිංපියො වගෙ එවුන් ටිකක් නෙ,1
7,උඹ ලෝකයක් ඉස්සරහ හදාගත්ත නම්බුව ලංකාවේ කාලකණ්ණි එක විනාඩියේන් නැති කරයි      බන්    ඒ හන්ද දේශපාලනය කරන්ට එන්ට එපා මචංංංංං    ගුඩ්ලක්,1
8,පල්ලියකට ගලක් වැදුනත් පරසක්වල ගහන මූ පන්සල් බිමට සමතලා කරද්දී සද්ද නෑ මූට කොහොමත් ඡන්දෙ නම් දෙන්නෙ නෑ,1
9,පංසල් විනාශ කරද්දී ඇරෙන්නේ නැති සංගාගේ කට පල්ලියට ගල් ගහද්දි ඇරුණා  එහෙම නායකත්වයක් සිංහල රට ජාතිය හදයිද,1
10,ජයසූරිය තමා එයටත් වඩා කුජිත වෙල යන්න සන්ගට වෙන්න,1
11,රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,1
12,කියන්න වැඩ හොදනම් හදවතින්ම සපෝර්ට් හැබැයි පොහොට්ටුව සමග නොවී  නම් හුරේ,1
13,රට හදන්න කලින් මිනිසුන් රවටන ප් රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න,1
14,ජයසූරියත් ආවෙ  කෝ රට හැදුවද   හැදුවද   නෑ  නෙ   නෑ නෙ   ඌ ලමයි හැදුවා,1
15,ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ,1
16,පොන්නයො රට පලනය කරනකොට ඔහොම තමා ජිවිතේ අසාවෙන් බලපු එකම දේ ක් රිකට් එකත් නැති කරා මේ පොන්නයො,1
17,ඔය කාරනය හරියට විග් රහ කරන්න ඩුප්ලිකේට් මහමෙව්නාවේ ඩුප්ලිකේට් කල් යාණ මිතුරන්ට පුලුවන් නම් දිව් ය ලෝක promote කරයි  ද,1
18,ස්ට් රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,1
19,ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ මුන්ගෙ කොන්ද පන නෑ,1
20,ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද,1
21,කල්ලතෝනි පකෙක්,1
22,අැත්තටම හරිම සතුටුයි එ් මනුස්සකමට එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා,1
23,මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්  කාලකන්නි හැත්ත   බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද,1
24,තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ   ලැජ්ජයි යකෝ   තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,1
25,අපොයි 2020 ජනාධිපති නෙද හුත්තෝ උබ උබ හොදයි නගරසභාවේ සුද්ද කරන්න හිකුණ්ඨික සක්කිලියා,1
26,මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,1
27,තෝ වගෙ එකෙක් අනේ මන්ද යකෝ   වැදගත් දෙයක් කරපිය    ගොන් වස්සෙක්    ඉදකින් හුත්තො,1
28,ඇයි යකෝ ලංකාවේ පොලිසිය නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා,1
29,පොලිස්සිය තාමත් කැද හැලි වගේ  තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා,1
30,තුවක්කු පුහුනුව දෙන්නෙ  එකේ විතරයි   ඉලක්කයක් අරන් වෙඩි තියන්න කී දෙනාද දක්ෂ  නාකි පප්පල ටික ගහල පන්නන්න ඕන ජරාව කකා ඉන්නන් වාලේ ඉන්නවට අනිත් එක සාමාන් ය මිනිස්සු ඉන්න තත්වයකදි මේ විදියට වෙඩි තැබීම අනුමත කරන්න බැ,1
31,පාතාල කාරයන්ට මනුස්සකමක් නැනේ මුන් බයික් වලට නගිනකන් ඉවසන්න තිබුනේ නැත්තන් තත්වය බලල stf ගෙනන්න තිබුනේ  කොහේද ලොක්කො දෙන අණ නේ   අපරාදෙ වටින ජීවිතයක්,1
32,ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා   මුන්ව හිරේ යවන්නනම් එපා  මරලා දානවා මිසක්,1
33,අනේ මෙහෙමත් කුහක මිනිස්සු,1
34,මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා  පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා,1
35,මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්,1
36,මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් පුහුණුවක් අවශයයි  මොකද හොරාට පන්න ගන්න බැ   මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ   ගොන් වැඩ ගොඩක් තියෙනව,1
37,කතා කරෝත් මහ ලොකුවට අපි දකුණේ  කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව   උස්සන්න  ඔය උස්සපු අයියා විතරයි  පිරිමි යේක් කියලා,1
38,මමනං දැක්කේ  අනිත් ඔක්කෝම පිරිමී   අපි  අදින ගවුම් වලට වඩා  හෝද නයිටි ටිකක් ඇදගන්න   ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න    දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා    අනේ ප්ලීස්  ඔය මංකොල්ල කාරයෝ,1
39,ඔක්කෝම  කෝහෝම හරි   වෙඩිතියල මරලා දාන්න  පොලිස්පති තුමනි  අයේත් මේවැනි දේ නොවෙන්න,1
40,මව් බිම නැති නම් මරණය    මෙයයි තේමා පාටය විය යුත්තේ    ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි,1
41,තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද මේක මහ මෝඩයෙක්,1
42,ඔවාට දකුණේ එකෙක් ඒක කෙලින් කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව,1
43,මත්ද් රව් යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,1
44,යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්   ඇමති අයගේ වාහන වලට කෝටි ප් රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ,1
45,අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව,1
46,තවත් එක් සෝමාලියාවක් වගේ ශිට්,1
47,පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා,1
48,ත් රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා  හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව,1
49,කියන්න නම් එපා අපි දකුනේ කියලා    විලි ලැජ්ජයි යකෝ,1
